ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
M2AS34,M2AS34,BDR,MASI (BDR: M2AS34),15.05,S,2.0,C,3.0,OK,178.5,177.47,154.9,153.16,216152433.0,True,0.45,False,0.0,False,0.0,True,0.8,True,0.8,True,False,1.45,178.76,False,False,False,False,False,True,False,24.987000000000002,44.2928,12.894604,11
I1EX34,I1EX34,BDR,IEX (BDR: I1EX34),15.03,S,2.0,C,3.0,OK,214.87,200.2,187.3,181.37,121699571.92,False,0.0,False,0.0,True,0.85,True,0.5,True,0.7,True,False,0.74,223.85,False,False,False,False,False,True,False,12.748000000000001,31.785501,3.9799585,12
ASML34,ASML34,BDR,ASML (BDR: ASML34),15.0,S,3.7,C,4.0,Forte,1516.6,1397.23,1240.23,1127.37,2607032324.83,False,0.0,False,0.0,True,0.8,True,0.5,False,0.0,True,False,1.08,1545.52,False,False,False,False,True,True,False,52.236000000000004,50.085865,1329.49,13
A1DI34,A1DI34,BDR,ADI (BDR: A1DI34),15.0,S,3.7,C,3.0,OK,408.52,347.06,298.44,283.27,1595664370.37,False,0.0,False,0.0,False,0.0,True,0.65,True,0.85,True,False,1.16,416.0,False,False,False,False,True,True,False,7.861999999999999,74.41166,5.9028707,14
I1HG34,I1HG34,BDR,IHG (BDR: I1HG34),15.0,S,2.0,C,2.0,Fraco,146.95,136.93,134.18,130.34,39481790.43,False,0.0,False,0.0,True,1.0,True,0.65,True,0.85,True,False,1.24,148.38,False,False,False,False,False,True,False,0.0,30.236624,-48.40687,15
BIIB34,BIIB34,BDR,BIIB (BDR: BIIB34),14.93,S,2.3,C,3.0,OK,191.38,184.4,175.3,165.72,135387765.47,False,0.0,False,0.0,True,0.85,True,0.5,True,0.65,True,False,0.67,195.98,False,False,False,False,True,False,False,7.7010006,20.55639,1.5144777,16
C2CA34,C2CA34,BDR,KOF (BDR: C2CA34),14.93,S,0.5,C,3.0,OK,106.13,100.7,96.0,92.91,12900101.17,False,0.0,False,0.0,True,0.85,True,0.65,True,1.0,True,False,0.57,108.34,False,False,False,False,False,False,False,15.825,999.0,2.7971468,17
FMXB34,FMXB34,BDR,KOF (BDR: FMXB34),14.93,S,0.5,C,3.0,OK,106.13,100.7,96.0,92.91,12900101.17,False,0.0,False,0.0,True,0.85,True,0.65,True,1.0,True,False,0.57,108.34,False,False,False,False,False,False,False,15.825,999.0,2.7971468,18
M1CH34,M1CH34,BDR,MCHP (BDR: M1CH34),14.7,S,3.5,C,2.0,Fraco,101.58,74.23,68.94,67.88,1599513957.09,False,0.0,False,0.0,False,0.0,True,0.8,True,0.55,True,False,1.35,103.24,False,False,False,False,True,True,False,-1.0930001,999.0,8.379114,19
HAGA4,HAGA S.A. INDUSTRIA E COMERCIO,BR_STOCK,HAGA4,14.6,S,4.9,C,2.0,Fraco,1.7,1.49,1.27,1.24,60520.0,False,0.0,False,0.0,False,0.0,True,0.65,True,0.65,True,False,1.52,1.75,False,False,False,True,True,True,False,0.0,9.444445,-0.40255743,20
