ticker,name,category,display,technical_score,technical_tier,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,roe,pl,pvp,rank
C1NS34,C1NS34,BDR,CE (BDR: C1NS34),10.4,A,0.0,Fraco,62.12,60.61,49.46,48.85,324666509.34,False,0.0,False,0.0,False,0.0,True,0.55,True,0.9,False,False,2.83,70.7,-22.521,999.0,1.6810544,330
PGCO34,PGCO34,BDR,PG (BDR: PGCO34),10.32,A,4.0,Forte,147.9,147.52,147.05,148.43,864012685.24,False,0.0,False,0.0,True,0.85,True,0.7,True,0.9,True,False,0.63,152.42,31.112000000000002,21.622807,6.407868,331
T1RO34,T1RO34,BDR,TROW (BDR: T1RO34),10.3,A,5.0,Forte,106.13,93.38,98.09,99.13,224974049.79,False,0.0,False,0.0,False,0.0,True,0.7,True,0.7,True,False,0.94,104.44,18.688999,11.38734,2.1359282,332
K1LA34,K1LA34,BDR,KLAC (BDR: K1LA34),10.3,A,3.0,OK,1816.29,1605.98,1384.08,1270.97,2394742090.7,False,0.0,False,0.0,False,0.0,False,0.0,True,0.65,False,False,1.2,1939.36,94.975996,51.380203,43.579105,333
BMMT11,BMMT11,ETF,BMMT11,10.3,A,0.0,Fraco,164.32,164.46,153.69,147.73,65235.04,False,0.0,False,0.0,False,0.0,False,0.0,True,0.9,True,False,1.13,172.45,0.0,999.0,999.0,334
N1EM34,N1EM34,BDR,NEM (BDR: N1EM34),10.3,A,5.0,Forte,115.1,112.73,104.19,96.2,808030303.89,False,0.0,False,0.0,False,0.0,True,0.7,True,0.7,False,False,0.93,122.0,25.832,14.928664,3.5360982,335
P1KG34,P1KG34,BDR,PKG (BDR: P1KG34),10.3,A,2.0,Fraco,226.82,215.07,211.46,209.56,118928080.8,False,0.0,False,0.0,False,0.0,True,0.4,False,0.0,True,False,0.48,224.89,0.0,27.526701,4.3713384,336
BOEI34,BOEI34,BDR,BA (BDR: BOEI34),10.3,A,2.0,Fraco,229.93,217.06,217.46,219.57,1645844405.89,False,0.0,False,0.0,False,0.0,True,0.85,True,0.55,True,False,1.17,236.45,169.947,90.52362,30.289816,337
O1KE34,O1KE34,BDR,OKE (BDR: O1KE34),10.3,A,4.0,Forte,85.6,86.34,76.65,75.52,466563990.08,False,0.0,False,0.0,False,0.0,True,0.4,True,0.75,False,False,1.27,91.43,15.903,15.258467,2.397289,338
BBDC4,BCO BRADESCO S.A.,BR_STOCK,BBDC4,10.2,A,3.0,OK,19.27,19.58,18.73,17.89,597585838.2,False,0.0,False,0.0,True,1.0,True,0.55,True,0.55,False,False,1.24,21.57,13.754,9.046948,1.1423998,339
C1DN34,C1DN34,BDR,CDNS (BDR: C1DN34),10.2,A,4.0,Forte,354.9,301.54,312.54,322.2,805292219.35,False,0.0,False,0.0,False,0.0,True,0.85,True,0.5,True,False,0.79,354.89,20.656,82.920555,14.71515,340
CSMG3,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,BR_STOCK,CSMG3,10.2,A,5.0,Forte,55.25,55.53,46.23,41.51,141583650.0,False,0.0,False,0.0,False,0.0,True,0.55,True,0.55,False,False,0.67,61.0,17.03,14.812332,2.442205,341
GCRA11,GCRA11,ETF,GCRA11,10.2,A,0.0,Fraco,54.26,54.91,51.15,49.88,623393.12,False,0.0,False,0.0,False,0.0,False,0.0,True,0.85,True,False,2.83,56.03,0.0,999.0,999.0,342
S1OU34,S1OU34,BDR,LUV (BDR: S1OU34),10.2,A,2.0,Fraco,41.5,40.83,39.66,37.61,337985960.0,False,0.0,False,0.0,False,0.0,True,0.7,True,0.65,False,False,1.0,44.92,10.062,27.666666,2.6808786,343
COLD34,COLD34,BDR,COLD (BDR: COLD34),10.2,A,0.0,Fraco,12.7,11.95,12.06,12.47,64332242.73,False,0.0,False,0.0,True,0.8,True,0.7,True,0.9,True,False,1.39,12.98,-3.701,999.0,1.254321,344
SAPR3,CIA SANEAMENTO DO PARANA - SANEPAR,BR_STOCK,SAPR3,10.2,A,4.0,Forte,9.92,9.88,9.02,8.66,2108992.02,False,0.0,False,0.0,False,0.0,True,0.7,True,0.65,False,False,0.9,10.8,17.944999,7.689923,0.24281588,345
E1QN34,E1QN34,BDR,EQNR (BDR: E1QN34),10.2,A,2.0,Fraco,38.03,37.46,28.56,27.41,245080486.1,False,0.0,False,0.0,False,0.0,True,0.55,True,0.8,False,False,1.71,41.7,12.206,19.603092,4.7043543,346
G1AM34,G1AM34,BDR,GLPI (BDR: G1AM34),10.12,A,4.0,Forte,48.04,46.93,44.79,44.8,67615196.37,False,0.0,False,0.0,True,0.65,False,0.0,False,0.0,True,False,0.71,48.61,19.092000000000002,15.154574,2.9355333,347
RBFM11,RBFM11,ETF,RBFM11,10.12,A,1.0,Fraco,10.61,10.84,9.96,9.45,322162.03,False,0.0,False,0.0,True,0.65,False,0.0,False,0.0,True,False,0.81,10.86,0.0,3.958955,999.0,348
BIDU34,BIDU34,BDR,BIDU (BDR: BIDU34),10.1,A,1.0,Fraco,140.59,120.01,128.26,121.72,636534705.06,False,0.0,False,0.0,False,0.0,True,0.85,True,0.7,True,True,2.65,130.34,1.9040000000000001,81.738365,1.2268393,349
